"1" "2" "3" "4" "5" "6" "7" "8" "9"
"200246" 2.46852657336254e-10 7.81637391498906e-10 3.9748696600666e-10 6.33394183694369e-05 8.06049042772415e-06 0.0124788325392219 1.05681057387528e-09 0.000408940680070559 1.63857578729084e-05
"200291" 2.07625503159663e-10 3.97267920008152e-10 3.73904110911392e-10 2.56965533289338e-05 0.000706261086104932 0.0048415756589205 7.86361016263209e-10 4.36943857348003e-05 0.000513555136308264
"200293" 2.44843675005668e-05 4.01564465168221e-10 0.000531164531879053 0.00245659088060168 0.000268226215093624 0.00486021286882651 1.29246279287834e-09 8.36665518027457e-05 0.00104929340617608
"200305" 0.000304218648561512 3.77732013738422e-10 0.00480200158162812 4.6140482516457e-05 0.000563557749325262 5.81843661134014e-10 1.23722193928971e-05 7.9420178762079e-10 6.86722861760771e-10
"200311" 0.00195694712657777 3.84940760164385e-05 0.00159325317533526 0.000664032022160862 1.40511252762037e-05 0.000358713313396756 1.64640224340595e-09 6.51421596757239e-09 0.00112908392728975
"200314" 2.06032393746508e-10 3.81664351954886e-10 3.66341347378509e-10 0.0030489287761536 0.00867283448635094 0.000434011332482414 7.64343723942476e-10 0.000224311455467966 6.9501009963011e-10
"200325" 2.05609119217017e-10 3.69401246158874e-10 3.67714332223441e-10 4.07674044124155e-10 0.00867269115724874 0.00033995632785367 0.000143455089909904 6.37716576946204e-10 6.57428597680314e-10
"200329" 2.64012363942382e-10 3.90276798460876e-10 0.00101919270202973 0.00925134171053651 0.000121245407417813 0.00140732142419007 1.00616074773189e-09 0.00222069353112099 7.7157868004075e-10
"200366" 2.25833515072674e-10 0.0034699649961617 4.31067023601249e-10 0.00273059731364604 5.64760378578477e-10 0.000128427899847423 2.29067639743081e-09 0.000947731137035326 0.000326099512349933
"200369" 2.0558176335647e-10 3.69742824269019e-10 3.65842768075857e-10 5.44568447297325e-10 0.00721627607624069 0.00136561899226905 0.00231253652206129 6.44353251328359e-10 6.61233247590481e-10
"200390" 1.29895664844552e-05 5.6176560388709e-10 0.000753243183931421 6.21326248872614e-05 0.00108945304413818 0.00243278349950354 1.62793626221863e-09 0.00032797389631192 1.79753481195225e-05
"200392" 0.00216207973060214 4.60068821173613e-10 0.00128402107319872 5.35860293050427e-10 0.000414860812838202 0.0166294388782053 8.43283817313475e-10 9.44560000995504e-06 6.91585497853792e-10
"400562" 0.00021379742512705 0.0054331224495483 0.00109397703367383 4.97894984334317e-10 0.000160848298453341 1.18033030363972e-08 0.00256565089109811 1.00855554655944e-09 1.10804199563428e-09
"400628" 0.00033072732175016 0.000222293206283273 4.95344126777646e-10 0.000548022100797824 0.0016981213569326 6.04551572365664e-05 1.16378446641343e-09 0.000640608094285926 0.00682917150771301
"401005" 0.00475483159566415 0.000215420624031132 0.000355364821484181 7.23751852072771e-10 0.00197439542969241 5.64844202178607e-10 7.86126674864932e-10 8.56558672689775e-06 7.77534182597226e-05
"401009" 0.000481612644371938 0.00739697632792036 5.35985334166105e-10 8.47669580545993e-10 5.93697521200029e-05 2.24155540418746e-06 6.44405998700669e-05 9.74157180254602e-10 0.000119746316401011
"401010" 0.00151282887647496 7.04229264964126e-05 1.35212567054476e-05 0.00424673709241642 0.00103591961406856 7.61656210516966e-05 3.44631285967567e-06 7.42601648254867e-10 2.45452259825194e-05
"401013" 2.47270640102619e-10 1.7317756650107e-09 4.37120552723266e-10 1.2517234890837e-09 0.000289954825659152 0.00738076542112949 0.00718659931615616 0.000108462716511743 1.41246711509269e-05
