"1" "2" "3" "4" "5" "6" "7"
"396" 0.00178027478820751 1.18006842493887e-11 1.85835988478995e-05 1.76373363322148e-11 8.80649420830828e-11 3.12484496715838e-06 6.04450212424101e-11
"397" 0.00100028891004834 3.68909695669054e-11 9.49002732954585e-06 4.52764031618749e-06 7.62161304860477e-11 3.46907125484957e-06 4.85864611123698e-11
"398" 5.23187909347671e-06 8.36645207780658e-12 1.08455063708055e-11 1.23564680943365e-11 1.39219240638327e-11 1.72529335393065e-11 2.05034656280675e-11
"399" 6.88154046661361e-05 1.35119239766528e-11 9.88893895571349e-05 1.28432389512737e-11 1.56686896199661e-11 1.72445305147669e-11 2.36463959035486e-11
"402" 1.08547836146117e-11 1.0102412765586e-11 1.12282464053283e-11 1.68412677607493e-11 1.80501606174007e-11 6.68172218822513e-05 2.19111443090814e-05
"403" 2.23625178546331e-11 1.02569467194893e-11 1.17035164934009e-11 1.92749081322293e-11 2.03530786194093e-11 2.79891276497945e-05 1.00703324331421e-05
"404" 2.10147321334507e-06 9.77496181306981e-12 3.27961990118001e-05 1.40084275272604e-11 1.62584574585017e-11 1.75110724388568e-11 2.13814691752438e-11
"406" 6.53768864198532e-12 0.000208234626543622 1.62602837693485e-11 3.07990480613947e-11 6.46298061275489e-11 6.61753596288424e-11 2.09509860913853e-11
"411" 0.00284361724873067 4.4525304057618e-09 1.19863892980332e-10 2.88282596220872e-11 2.51914286341388e-11 2.98561578207199e-11 8.03218737458852e-05
"412" 8.33200823930852e-05 3.50250537369212e-10 1.27505230516673e-05 2.43800886857971e-10 1.39277814523017e-11 5.5299050508425e-06 3.90950008575256e-11
"413" 0.000229156092208902 9.76770506940759e-12 3.43044200602693e-11 1.32907242050919e-11 1.59068138147744e-11 2.01441868604059e-11 2.48405218886941e-11
"419" 1.42357894541594e-11 1.39138310419704e-11 1.08737766704376e-11 1.40992418857136e-11 1.44072102506624e-11 1.18105956189234e-05 2.04941291351294e-05
"420" 6.38680799471031e-12 1.02347454870151e-11 1.99249411736695e-11 2.23305980500755e-06 1.76171274725531e-11 4.93827434888844e-05 4.05197758817192e-06
"423" 6.27434917327949e-12 0.000306722562758526 1.20184488457383e-11 9.19328818304321e-07 6.8552918744263e-06 8.49018926922869e-11 4.61882330129112e-11
"433" 7.64617499346764e-07 8.9680667211829e-12 2.56114773970721e-05 1.26989772896597e-11 1.70704987835613e-11 1.82279591165497e-11 3.04951224000589e-11
"434" 2.61593678014902e-05 8.60118528448303e-12 1.94103193418156e-11 2.16232284123613e-11 1.39070494533188e-11 1.78018434127467e-11 2.09987909781589e-11
"435" 0.00296802454759453 1.05331620219545e-11 3.62223332757488e-11 1.78677953349596e-11 2.40060376260554e-11 3.51433081108034e-11 0.00014978934612479
