"1" "2" "3" "4" "5" "6"
"1109552" 3.35083999038306e-10 3.39066174750695e-05 5.10354512108077e-10 6.53036877653386e-10 0.000469592932630462 1.1615446034557e-09
"868003" 2.98400038214194e-10 9.09238900266464e-10 4.34692551038564e-05 5.63218299682419e-10 8.39963319098892e-10 7.69476593832107e-10
"4352768" 2.15663272409161e-10 3.69980244405343e-10 2.89789510617035e-05 5.88761585810226e-10 1.69047706388861e-09 2.04819538161433e-09
"4365172" 2.96250252661053e-10 3.71515507123001e-10 5.79281968693558e-05 1.20343921999106e-09 0.000324920818875329 7.71685417511657e-10
"586517" 2.15618765083184e-10 3.54804718088745e-10 4.86499654012463e-10 5.62738639841937e-10 8.39031425578241e-10 7.68738019986471e-10
"4319192" 2.86261633104858e-10 0.000169203844895739 2.83127519813475e-09 0.000105684208127668 2.28783186380343e-09 0.00031327910181594
"1028632" 4.10108696718726e-10 3.65754816146879e-10 4.87458455519904e-10 5.70986724982768e-10 0.000167285199258411 0.000167275937877233
"432284" 7.82081067620074e-10 0.000103978977523641 0.000123186765867034 0.00010112485088826 1.63334666568118e-05 0.000503071301322749
"42839" 2.15618765083184e-10 3.54804718088745e-10 4.86499654012463e-10 5.62738639841937e-10 8.39031425578241e-10 7.68738019986471e-10
"386088" 0.0108612206390309 0.0227327260431108 0.000569695752868716 0.00261399009682427 0.000176384397276842 0.00243198450690244
"4305923" 4.03929545683664e-10 9.59619723295396e-10 6.29680378070112e-10 8.94690855610636e-10 8.44111926909255e-10 0.000572400432249885
"190335" 2.23385976641416e-10 3.54956756182265e-10 8.69866060989361e-10 5.63202682505048e-10 8.39663654698205e-10 6.86884132921413e-05
"190332" 2.22540072597771e-10 3.92923282117998e-10 6.49836370778672e-10 9.03593915577216e-10 8.9276755108296e-10 0.00029764909994677
"575041" 2.15618765083184e-10 3.54804718088745e-10 4.86499654012463e-10 5.62738639841937e-10 8.39031425578241e-10 7.68738019986471e-10
"1086889" 2.15618765083184e-10 3.54804718088745e-10 4.86499654012463e-10 5.62738639841937e-10 8.39031425578241e-10 7.68738019986471e-10
"928424" 3.40535044016862e-10 5.38346337097292e-10 1.27797804753879e-09 0.000720703503511137 2.88234931812229e-09 1.15813470772098e-09
"1072424" 0.0105999385488565 3.50098223703064e-09 0.00127402580379406 3.67151091989909e-09 0.00328626921697441 8.73000417428482e-09
