"1" "2" "3" "4" "5" "6" "7" "8"
"531495" 1.72761760963419e-10 3.81295379557749e-10 4.20850087185092e-10 4.82958526194492e-10 5.73773253859157e-10 6.89574314099223e-10 6.75107810029587e-10 1.18572759636472e-09
"1109552" 2.67968106972077e-10 5.01624366787203e-05 4.3901787528411e-10 5.405499339544e-10 7.99645077361341e-09 0.000511726640069424 9.7920657934114e-10 5.12233482125539e-09
"868003" 2.35359771997764e-10 1.31653830968228e-09 5.0137463482749e-05 4.83262430430209e-10 8.01409935720316e-10 6.90153123308415e-10 6.75795728777197e-10 1.18738505079466e-09
"4352768" 1.7277922328388e-10 3.81474565294582e-10 1.1951187876165e-09 5.02251830570183e-10 6.39917241794303e-10 1.03298661408497e-09 6.94398255288361e-10 9.41734237567366e-05
"4365172" 2.32738634795858e-10 3.99256261369569e-10 6.7093053679605e-05 1.11268491680948e-09 6.0301324463761e-10 0.00035560073735354 6.76801026054016e-10 1.2173844520094e-09
"586517" 1.72761760963419e-10 3.81295379557749e-10 4.20850087185092e-10 4.82958526194492e-10 5.73773253859157e-10 6.89574314099223e-10 6.75107810029587e-10 1.18572759636472e-09
"4319192" 2.18116433738241e-10 0.00031920746821948 2.56354693623554e-09 0.000121050476894253 1.17751747224837e-09 1.48951897614691e-09 0.000132795735945765 0.00017206799358394
"1028632" 3.65891400139109e-10 3.82445286854946e-10 4.21399366596879e-10 4.83984150973607e-10 6.59229863507637e-10 0.000207164973103209 3.59894172107628e-05 0.000239796987887871
"432284" 5.0806946346229e-10 4.49585316793406e-05 0.000132550890031599 4.52210297574176e-05 0.000158064150004599 1.76631656604288e-05 0.000427675873222152 0.000480666298206386
"42839" 1.72761760963419e-10 3.81295379557749e-10 4.20850087185092e-10 4.82958526194492e-10 5.73773253859157e-10 6.89574314099223e-10 6.75107810029587e-10 1.18572759636472e-09
"386088" 0.0110134951349236 0.0177992807314468 1.92766784178785e-07 0.00214995388744012 0.0261611038114125 0.000146770035479846 4.92394643746302e-05 0.00483908732985487
"4305923" 2.56901650108001e-10 6.08547650601454e-10 4.5450009603891e-10 6.13489238709719e-10 8.49259604169538e-10 6.91565445808339e-10 0.000670246343579427 1.31153795166302e-09
"190335" 1.77411702892041e-10 3.81574535654399e-10 8.02162276799359e-10 4.83276903459071e-10 5.74057117563114e-10 6.90014988985226e-10 2.28914794183827e-09 0.000141260084584437
"190332" 1.76140460712439e-10 4.04853703635874e-10 8.2651300515742e-10 1.83148074078289e-09 5.81157002857194e-10 7.81080973753631e-10 1.23351427724852e-09 0.000612134468162825
"575041" 1.72761760963419e-10 3.81295379557749e-10 4.20850087185092e-10 4.82958526194492e-10 5.73773253859157e-10 6.89574314099223e-10 6.75107810029587e-10 1.18572759636472e-09
"1086889" 1.72761760963419e-10 3.81295379557749e-10 4.20850087185092e-10 4.82958526194492e-10 5.73773253859157e-10 6.89574314099223e-10 6.75107810029587e-10 1.18572759636472e-09
"928424" 2.83875266328764e-10 6.38937819097321e-10 1.3012825060996e-09 0.000824703790240886 9.22777760882851e-10 2.1103111960505e-09 2.66114942730627e-09 1.29001756728296e-09
"1072424" 0.0112710286801611 3.80644024601257e-09 0.00153131741396095 3.30115039928141e-09 1.51139879296258e-08 0.00342670613767245 0.000278931030961425 7.75402440910513e-09
