"1" "2" "3" "4" "5" "6" "7" "8"
"SRS017549.SRX019635" 0.0368220937018074 0.0765655095143988 0.406691107777112 0.434226099446282 0.0144174929608717 0.0289484102188181 0.0015254948241043 0.000803791556605784
"SRS020263.SRX019636" 0.395102924450128 0.000377006968183798 0.000435393213096598 0.145094728462495 0.458015225407269 0.000326690001899971 0.000337467786739922 0.000310563710187637
"SRS017549.SRX019636" 0.0283512736074501 0.0344069580393919 0.472420584975663 0.406809178220958 0.0273048438383406 0.0289215555235353 0.00134671698724458 0.000438888807416867
"SRS020267.SRX019635" 0.078691711569464 0.00107689754404649 0.169950689599383 0.691582135344204 0.014386986550938 0.000637481200345407 0.00411662168246966 0.0395574765091497
"SRS023768.SRX019681" 0.605476985013822 0.00211686666486722 0.297928594808903 0.0918618486143584 0.00101348723390176 0.000541849376436572 0.000563915676908357 0.000496452610802248
"SRS020443.SRX019682" 0.556201645609901 0.0542530398932433 0.257812692997014 0.000600632664620024 0.000794059339405566 0.000405748983090897 0.129458489048619 0.000473691464106606
"SRS058182.SRX019682" 0.39227926907474 0.0460439709028749 0.000596341485171844 0.0359901084965757 0.524192615711757 0.000320777516837147 0.00030092931643654 0.000275987495606803
"SRS024363.SRX019684" 0.173270537469689 0.00191958124769053 0.411152178862617 0.266794054780796 0.00108002840222892 0.000360305304686475 0.143806499668119 0.00161681426417195
"SRS024482.SRX019684" 0.23137585250279 0.000302074190757669 0.000469598587106033 0.592873529768891 0.174209946169626 0.000305502258044842 0.000236318602573996 0.000227177920210525
"SRS017731.SRX019687" 0.210597983244192 0.0025453632344497 0.000471856361305466 0.0932693013239443 0.549329308848771 0.000629986308581951 0.142267448710405 0.000888751968349837
"SRS017487.SRX019687" 0.000336288730408935 0.000354952405536295 0.61633564573001 0.132834537064897 0.000377704721686064 0.0231874325118864 0.0591523070713411 0.167421131764234
"SRS024124.SRX019686" 0.308652196429925 0.00480006714721584 0.0837379482169012 0.323842790796825 0.0206435371010229 0.000247078057826876 0.257708285618719 0.000368096631563723
"SRS016672.SRX019691" 0.000235558493505661 0.0718988947159424 0.135067955547021 0.412013541774461 0.160036051648501 0.046772889702584 0.171708024848975 0.00226708326900964
"SRS023942.SRX019690" 0.172746958681848 0.00145429708689552 0.00026328156568239 0.755060426277452 0.00136560627088074 0.000414131221157455 0.00188159065506754 0.0668137082410165
"SRS018343.SRX019691" 0.686177471100336 0.184136409918682 0.00734068535054748 0.0828936314167998 0.000786506428451409 0.00333997445367698 0.000692676574319386 0.0346326447571863
"SRS017035.SRX019691" 0.282635415537039 0.00584888696284989 0.0341565339262892 0.205331168591454 0.351307147943416 0.015110467278861 0.105094918316778 0.000515461443312782
"SRS013727.SRX019690" 0.062195351902514 0.0355407788471886 0.00126364839429317 0.60109990423655 0.00334507502512692 0.000411410876981004 0.000931576794291067 0.295212253923055
"SRS023944.SRX019690" 0.28086680698968 0.0608204081475266 0.0248726164665888 0.442658705504642 0.00121897081892383 0.000490349861537832 0.020318798062108 0.168753344148993
"SRS024236.SRX019696" 0.771780921176409 0.0630591599980094 0.00103845171793916 0.0694730438217035 0.000988334682163393 0.000557015197466978 0.0925377235986704 0.00056534980763837
"SRS022641.SRX019696" 0.00392016248085699 0.0898554003116725 0.138161062285874 0.385012775937191 0.000969304167603866 0.000864406890681435 0.156284862055102 0.224932025871017
"SRS016376.SRX019693" 0.0859038543548601 0.00680652206984877 0.830722370708822 0.0133059871363544 0.00797399873662479 0.000396222940638006 0.000334513827747938 0.0545565302251039
"SRS022643.SRX019696" 0.000323866426344206 0.0647981539840388 0.203788613874976 0.686546405409993 0.000347424884237915 0.000537073245313214 0.000676449650148959 0.0429820125249476
"SRS022637.SRX019696" 0.000378307522939315 0.309924222719963 0.337868250155508 0.144540963776942 0.00457627784480429 0.000232855176753949 0.096491430466388 0.105987692336702
"SRS022643.SRX019692" 0.0016149931008395 0.0850041641703484 0.224212666183762 0.625244711044204 0.000422786099369778 0.000553090466589813 0.05182124942366 0.0111263395112266
"SRS023942.SRX019698" 0.151826885652724 0.0209516677822723 0.000346729034000688 0.693747272152407 0.000606792685270455 0.000446429532518759 0.00133607200856316 0.130738151152243
"SRS016883.SRX019696" 0.785253795497033 0.00318118141992888 0.123340737329782 0.00178967203795985 0.0578312391803437 0.000583223456789577 0.0275413640544597 0.000478787023703507
"SRS023204.SRX019696" 0.404928218613485 0.168831452543868 0.00067523141612402 0.0281726874443177 0.295356247500833 0.000345822473323145 0.101091227251314 0.000599112756734833
"SRS022639.SRX019696" 0.000401787154679903 0.500780744794565 0.00152953196445455 0.0941182264443795 0.384915712224762 0.00031343052456708 0.00133872134943959 0.0166018455431531
"SRS023942.SRX020204" 0.234183920976093 0.00437840651882965 0.000262607419330382 0.660344608121124 0.0162039634101545 0.000292378028045802 0.000392925819222963 0.0839411897071996
"SRS022639.SRX019692" 0.000466602462927412 0.596889490468693 0.00139845227358921 0.0409141784301181 0.35899769613897 0.000349197625100955 0.00048162238887897 0.000502760211722117
"SRS044714.SRX020217" 0.267545738940453 0.00216414918420598 0.49077349335014 0.2299902870189 0.00232562693210804 0.00205583836591443 0.000631348708781507 0.00451351749949686
"SRS023768.SRX020198" 0.412342535284028 0.00154949807406533 0.368248884534259 0.170756261311134 0.040320696595387 0.00438999426314713 0.000472341895482321 0.00191978804249721
"SRS024659.SRX020208" 0.277502245187114 0.00138857934082769 0.694688494093806 0.00310718902429834 0.00121214236680688 0.0211825256176465 0.000482034188909472 0.000436790180591587
